createdate createtime filename size status
2021-05-19 05:53:46 marsNC_2021-04-27.nc 28.68MB done
2021-05-19 06:25:45 marsNC_2021-04-28.nc 28.68MB done
2021-05-19 06:58:08 marsNC_2021-04-29.nc 28.68MB done
2021-05-19 07:31:24 marsNC_2021-04-30.nc 28.68MB done
2021-05-19 08:04:52 marsNC_2021-05-01.nc 28.68MB done
2021-05-19 08:39:41 marsNC_2021-05-02.nc 28.68MB done
2021-05-19 09:12:29 marsNC_2021-05-03.nc 28.68MB done
2021-05-19 09:45:53 marsNC_2021-05-04.nc 28.68MB done
2021-05-19 10:19:44 marsNC_2021-05-05.nc 28.68MB done
2021-05-19 10:53:59 marsNC_2021-05-06.nc 28.68MB done
2021-05-19 11:28:15 marsNC_2021-05-07.nc 28.68MB done
2021-05-19 12:03:43 marsNC_2021-05-08.nc 28.68MB done
2021-05-19 12:38:52 marsNC_2021-05-09.nc 28.68MB done
2021-05-19 14:22:10 marsNC_2021-05-10.nc 28.68MB done
2021-05-19 15:08:17 marsNC_2021-05-11.nc 28.68MB done
2021-05-19 15:46:00 marsNC_2021-05-12.nc 28.68MB done
2021-05-19 16:25:50 marsNC_2021-05-13.nc 28.68MB done
2021-05-19 17:00:08 marsNC_2021-05-14.nc 28.68MB done
2021-05-19 17:34:23 marsNC_2021-05-15.nc 28.68MB done
2021-05-19 18:10:36 marsNC_2021-05-16.nc 28.68MB done
2021-05-19 18:45:39 marsNC_2021-05-17.nc 28.68MB done
2021-05-19 19:20:47 marsNC_2021-05-18.nc 28.68MB done
2021-05-19 19:56:21 marsNC_2021-05-19.nc 28.68MB done
2021-05-21 05:12:31 marsNC_2021-05-20.nc 28.68MB done
2021-05-21 07:43:08 marsNC_2021-05-21.nc 28.68MB done
